menu,amount,kcal
บะหมี่กึ่งสำเร็จรูปผัดกระเพราหมู,1 จาน,540
บะหมี่กึ่งสำเร็จรูปผัดขี้เมา,1 จาน,530
บะหมี่เกี๊ยวเป็ดย่าง,1 ชาม,415
บะหมี่น่องไก่-น้ำ,1 ชาม,375
บะหมี่น้ำเกี๊ยวหมูแดง,1 ชาม,305
บะหมี่น้ำต้มยำหมู,1 ถ้วย,300
บะหมี่น้ำน่องไก่,1 ชาม,375
บะหมี่น้ำเป็ด,1 ชาม,370
บะหมี่น้ำหมูต้มยำ,1 ชาม,300
บะหมี่หมูแดง,1 ชาม,231
บะหมี่แห้งหมูแดง,1 ชาม,345
บาร์บีคิวซี่โครงหมูข้าวคลุกเนย,1 ชุด,340
เบียร์ไทย,1 แก้ว,148
ปลาดุกย่าง น้ำปลามะนาว,1 ตัวเล็ก,165
ปลากระพงนึ่งมะนาว,1 ชิ้นกลาง,155
ปลาช่อนทอด,1 ตัว,1840
ปลาช่อนอบเกลือ,1 ตัว,220
ปลาชุบขนมปังทอด + สลัดผัก,1 จาน,595
ปลาซาบะย่าง,1 ตัว,220
ปลาแซลมอนย่าง,1 จาน,260
ปลาทอดสามรส,1 ตัวกลาง,470
ปลาทูทอด,1 ตัวกลาง,280
ปลานึ่ง,1 ตัว,156
ปลาเผา,1 ตัว,156
ปลาราดซอสมะนาวมันฝรั่งทอด,1 จาน,560
ปลาราดพริก,1 จาน,300
ปลาร้าทรงเครื่อง,1 ถ้วย,155
ปลาร้าสับ,1 ถ้วย,35
ปลาเล็กปลาน้อยทอดกรอบ,1 ช้อนโต๊ะ,80
ปลาสลิดทอด,1 ตัว,190
ปลาหมึกชุปแป้งทอด,1 ชิ้น,49
ปลาหมึกนึ่งมะนาว,1 ตัว,75
ปลาหมึกผัดฉ่า,1 ถ้วย,260
ปลาหมึกย่าง,1 ไม้,37
ปลาอินทรีย์เค็มทอด,1 จาน,115
ปอเปี๊ยะทอด,1 ชิ้น,158
ปีกไก่ทอด,1 ชิ้นกลาง,107
ปีกไก่สอดไส้ทอด,1 ชิ้น,103
ปีกไก่อบ,1 ชิ้น,169
เป็ดตุ๋นมะนาวดอง,1 ถ้วย,110
เป็ดพะโล้,1 ถ้วย,110
ผัดกะหล่ำปลีหมู,1 จาน,230
ผัดกุ้งสะตอหมู,1 จาน,200
ผัดกุ้งหน่อไม้ฝรั่ง,1 จาน,230
ผัดไข่หน่อไม้,1 จาน,200
ผัดคะน้าปลาเค็ม,1 จาน,200
ผัดไชโป๊วใส่ไข่,1 จาน,125
ผัดซีอิ๊วเส้นใหญ่หมูใส่ไข่,1 จาน,679
ผัดดอกกะหล่ำกุ้ง,1 จาน,210
ผัดดอกกุ่ยช่ายตับ,1 จาน,210
ผัดถั่วงอกเต้าหู้,1 จาน,155
ผัดถั่วลันเตากุ้ง,1 จาน,190
ผัดไทยกุ้งสด,1 จาน,486
ผัดไทยกุ้งสดใส่ไข่,1 จาน,545
ผัดไทยไร้เส้น,1 จาน,182
ผัดไทยวุ้นเส้นกุ้งสด,1 จาน,520
ผัดไทยห่อไข่,1 จาน,565
ผัดบร็อกโคลี่กุ้ง,1 จาน,210
ผัดบวบใส่ไข่,1 จาน,210
ผัดเปรี้ยวหวานไก่,1 จาน,215
ผัดผักกระเฉดน้ำมันหอย,1 จาน,185
ผัดผักกาดขาวหมูวุ้นเส้น,1 จาน,230
ผัดผักกาดดองใส่ไข่,1 จาน,205
ผัดผักคะน้าน้ำมันหอย,1 จาน,210
ผัดผักบุ้ง (ไม่ใส่น้ำมัน),1 จาน,40
ผัดผักบุ้งไฟแดง,1 จาน,210
ผัดผักรวมหมู,1 จาน,210
ผัดเผ็ดปลาดุก,1 จาน,200
ผัดเผ็ดปลาทอดกรอบ,1 จาน,290
ผัดเผ็ดมะเขือหมู,1 จาน,250
ผัดพริกแกงหมูหน่อไม้,1 จาน,200
ผัดพริกขิงกุ้งกับถั่วฝักยาว,1 จาน,245
ผัดพริกขิงหมูถั่วฝักยาว,1 จาน,265
ผัดฟักทองใส่ไข่,1 จาน,255
ผัดมะเขือยาวหมูสับ,1 จาน,210
ผัดมักกะโรนีกุ้ง,1 จาน,420
ผัดมักกะโรนีหมู,1 จาน,514
ผัดยอดมะระน้ำมันหอย,1 จาน,185
ผัดวุ้นเส้นใส่ไข่,1 จาน,265
ผัดหมี่ซั่ว,1 จาน,395
เฝอ,1 ถ้วย,240
พอร์คชอปทอดผักผัดเนย,1 จาน,545
พะแนงไก่,1 ถ้วย,230
พะโล้,1 ถ้วย,210
ฟักตุ๋นไก่มะนาวดอง,1 ถ้วย,125
ฟักทองแกงบวช,1 ถ้วยเล็ก,165
ฟักทองแกงบวด,1 ถ้วย,185
มักกะโรนีขี้เมาไก่,1 จาน,520
มักกะโรนีผัดกุ้ง,1 จาน,420
เมี่ยงก๋วยเตี๋ยว,1 คำ,20
เมี่ยงคำ,1 คำ,30
แม่โขง,1 cc,1
ยากิโซบะ,1 จาน,400
ยำกุนเชียง,1 จาน,220
ยำขนมจีน,1 จาน,220
ยำไข่ต้ม,1 ฟอง,105
ยำไข่ต้มทรงเครื่อง,1 จาน,188
